Unit,Address,SoldPrice,AskingPrice,Bed,Bath,Sqft,Age,SoldDate,DaysOnMarket,PriceSqft,Floor
623,8800 Hazelbridge Way,505000,558000,1,1,575,0,5/28/2020,114,878.2608696,6
907,7360 Elmbridge Way,425000,458000,1,1,603,12,5/13/2020,15,704.8092869,9
309,9551 Alexandra Road,578000,619900,1,1,764,0,5/17/2020,55,756.5445026,3
218,9311 Alexandra Road,550000,598000,1,1,738,5,5/12/2020,80,745.2574526,2
408,4111 Bayview Street,590000,575000,1,1,718,15,5/22/2020,11,821.7270195,4
801,8288 Granville Avenue,508000,528000,1,1,580,5,1/13/2020,194,875.862069,8
807,7362 Elmbridge Way,475000,480000,1,1,595,12,1/23/2020,42,798.3193277,8
1308,7788 Ackroyd Road,421000,558000,1,1,538,5,1/6/2020,35,782.527881,13
1310,5580 No 3 Road,683000,699000,1,1,751,2,1/15/2020,7,909.4540613,13
209,6011 No 1 Road,455000,465000,1,1,610,6,1/18/2020,5,745.9016393,2
810,7831 Westminster Highway,435000,439900,1,1,630,17,1/19/2020,16,690.4761905,8
321,5600 Andrews Road,380000,389900,1,1,530,22,1/12/2020,5,716.9811321,3
1108,8800 Hazelbridge Way,535238,588000,1,1,616,0,1/19/2020,3,868.8928571,11
811,8800 Hazelbridge Way,535952,578000,1,1,616,0,1/19/2020,3,870.0519481,8
129,9551 Alexandra Road,538000,548800,1,1,657,0,1/20/2020,0,818.8736682,1
912,8800 Hazelbridge Way,550000,569900,1,1,616,0,1/19/2020,10,892.8571429,9
131,5888 Dover Crescent,423000,428800,1,1,664,23,1/22/2020,10,637.0481928,1
1510,8988 Patterson Road,445000,469000,1,1,485,2,1/17/2020,100,917.5257732,15
302,8600 Park Road,470000,475000,1,1,769,9,1/22/2020,8,611.183355,3
322,12339 Steveston Highway,440000,430000,1,1,717,6,1/28/2020,1,613.6680614,3
806,8333 Anderson Road,480000,486000,1,1,646,8,1/20/2020,40,743.0340557,8
513,9388 Tomicki Avenue,523000,518000,1,1,630,4,1/20/2020,7,830.1587302,5
1208,3300 Ketcheson Road,548000,559000,1,1,622,0,1/22/2020,6,881.0289389,12
